"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-20",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-29",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-08-31",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-01",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-02",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-03",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-04",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-05",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-06",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-07",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-08",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-09",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-10",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-11",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-12",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-13",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-14",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-15",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-16",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-17",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-18",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-19",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-20",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-21",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-22",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-23",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-24",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-25",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-26",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-27",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-28",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-29",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-09-30",,,
"CA1ON000096","NEWMARKET 1.3 ENE AAFC, ON CA","2024-10-01",,,
